CRSP_SPvwx,DFY,tbl,ntis,TMS,log_DP,log_EP,lty,bm,infl,log_DY,log_DE,svar,ltr,DFR
-0.012416758240000103,0.006000000000000002,0.0038,0.05086363522637329,0.017499999999999998,-3.047823860332477,-2.480302892889941,0.0213,0.7415349887133184,0.019951827927799926,-3.056356895370426,-0.567520967442536,0.005717589124240001,0.0035017374799999335,0.004205214194999973
-0.00256096443999998,0.006599999999999998,0.0038,0.0468877419499656,0.0178,-2.9963899519729615,-2.3573099926832923,0.0216,0.7411167512690355,0.004532615095520054,-2.9937566390622012,-0.6390799592896695,0.006662527888000001,0.0005873777900000654,0.0038182238099997434
-0.005629541071999977,0.006200000000000004,0.008,0.044029565447437316,0.0133,-2.951079109805718,-2.277101845353493,0.0213,0.740323398501324,0.04355654450021573,-2.9576754397922715,-0.6739772644522252,0.004086318667459999,0.009987445468000011,-0.028134649447999927
0.014253171728000336,0.006600000000000002,0.0095,0.02916613439803824,0.014799999999999999,-2.902206215543168,-2.251618649402018,0.0243,0.7253256789578274,0.018766793911580093,-2.889710163429426,-0.6505875661411494,0.00235642216142,-0.03983173609599999,0.022581708943999912
-0.014373304660000086,0.006999999999999996,0.01,0.027164675478310325,0.0141,-2.875888292077585,-2.1768759920652414,0.0241,0.8414221218961625,-0.00010398718713755528,-2.890371757896165,-0.6990123000123435,0.004842355862999999,0.010031671280000154,0.007850246359999868
0.1123091223749999,0.0058,0.01,0.024368971170778537,0.013800000000000002,-2.980319994559104,-2.197224577336219,0.0238,0.7869735036419296,0.02833829453106884,-2.875888292077585,-0.7830954172228848,0.0027216001749100003,0.01010667702000001,-0.013841842252000136
-0.07511723357900013,0.006100000000000005,0.0109,0.01968809844966905,0.0133,-2.879456721762285,-2.0126460471514998,0.0242,0.8362310712282669,0.0165346375214801,-2.9570631323948366,-0.8668106746107853,0.00608303848081,-0.0006030102939998949,0.0032750616539999333
-0.022147773607000043,0.007399999999999997,0.0116,0.015026312066935504,0.0121,-2.793866120687066,-1.8927436102860824,0.0237,0.8409475465313028,-0.01776624796946935,-2.8127653472636127,-0.9011225104009837,0.007698725743169999,0.013951829792000048,0.010211627447999971
-0.012034732329999742,0.0076999999999999985,0.011699999999999999,0.014771834079174907,0.011000000000000003,-2.732244929689267,-1.8449417346883643,0.0227,0.9017504234895539,-0.009775784499177598,-2.74149813516975,-0.8873031950009027,0.0036761249824399994,0.020637417332000085,-0.012317647224000083
-0.06178609685800007,0.007600000000000003,0.011699999999999999,0.015191330027390806,0.010000000000000002,-2.630618460969394,-1.7749523509116738,0.0217,0.9538884243220642,0.0013976383781915125,-2.6922395950755678,-0.8556661100577201,0.00307336410504,0.019752224902999993,-0.005192171487000019
0.1002230519270002,0.0076999999999999985,0.010700000000000001,0.021894046967322157,0.010499999999999999,-2.706767327289321,-1.8746946744991828,0.0212,0.8750205468193524,-3.760188665269393e-05,-2.6112003751122925,-0.8320726527901381,0.00308613367965,0.013320749707000257,0.0024445172159999196
0.07435777127999987,0.0072999999999999975,0.011000000000000001,0.026499379149748755,0.009899999999999997,-2.687966832647533,-1.9774279093757186,0.0209,0.7964292838619588,-0.009822552697582143,-2.6149597780361984,-0.7105389232718146,0.0019928477950999996,0.009224810747999967,-0.015038544763000039
0.03198133699999994,0.006600000000000005,0.011200000000000002,0.029588802258332096,0.010299999999999997,-2.6931245508855346,-1.9872383445481594,0.0215,0.8255277845183208,-0.002846964740881419,-2.6619913462442724,-0.7058862063373751,0.0019435658346499993,-0.003216020248000051,0.009828295946000098
0.02102273172000002,0.006599999999999995,0.0115,0.03170543989664773,0.010100000000000001,-2.6906779513777392,-1.9408354271412487,0.0216,0.8134474678398927,0.011305466912775897,-2.6678067429012446,-0.7498425242364906,0.00707131932581,0.0037941252500000022,-0.003097163778000178
0.10710724802500016,0.005699999999999997,0.013000000000000001,0.02705935660033554,0.008999999999999998,-2.6826681278307927,-1.9672151897565493,0.022,0.7514578547446544,0.02510257686868056,-2.587820565938032,-0.7154529380742436,0.005584744277030001,-0.00034203543999977715,0.0071264231819997415
0.0544679426600001,0.005300000000000003,0.0134,0.03186660224485508,0.009,-2.6307625760311084,-1.9722209246486389,0.0224,0.7225384419335655,0.023108890168750618,-2.5825846692738104,-0.6585416513824698,0.006521210800040001,0.000281093120000131,0.006625156943999899
0.04673087255799979,0.004500000000000004,0.013999999999999999,0.03249461184619268,0.010100000000000001,-2.6446805871696206,-2.0231142103726594,0.0241,0.7813946002494668,0.031835223544427915,-2.5973146419635684,-0.6215663767969611,0.00342512575059,-0.017317126155999896,-0.008831785712000162
-0.023301263097999958,0.005500000000000001,0.014499999999999999,0.03607894323237592,0.0114,-2.5979300381913957,-2.0419839791449355,0.0259,0.8003626772172766,0.0038718480341188855,-2.61870510076636,-0.5559460590464603,0.003218998161120001,-0.019274959513999934,0.007598616958999993
0.11242130560000008,0.006200000000000001,0.0163,0.028633195142028178,0.009000000000000001,-2.7280248122323334,-2.226452393946826,0.0253,0.7161823277769581,0.00771046046431989,-2.6239055245946563,-0.5015724182855075,0.002165067652380001,0.015645927040000007,0.010604610869999975
0.020159321509999995,0.006000000000000002,0.0173,0.035993030164385584,0.009600000000000001,-2.824834576982026,-2.276426242066992,0.0269,0.7213163466181332,0.014033176256550872,-2.8031454427004414,-0.5484083349150335,0.00287900341857,-0.01863665703999995,0.0038061400500000175
